Basin,Country,Description,DateSigned,Signatories,IssueArea
Nile,Tanzania  United Republic of,Convention for the establishment of the Lake Victoria Fisheries Organization with annex and final act,30/06/1994,Tanzania  Un. Rep. of  Uganda  Kenya,Joint Management  Fishing  Water Quality
General,Tanzania  United Republic of,African convention on the conservation of nature and natural resources,15/09/1968,Cameroon  Central Africa Republic  Congo  Cote D'Ivoire  Djibouti  Egypt  Ghana  Kenya  Madagascar  Malawi  Mali  Morocco Mozambique  Niger  Nigeria  Rwanda  Senegal  Seychelles  Sudan  Swaziland  Togo  Tunisia  Uganda  Tanzania  Zaire  Liberia  Algeria,Joint Management  Water Quality
Congo/Zaire,Tanzania  United Republic of,General act of the conference of Berlin ? Respecting: 1) freedom of trade in the basin of the Congo  2) the slave trade  3) neutrality of the territories in the basin of the Congo  4) navigation of the Congo  5) navigation of the Niger  and 6) rules for future occupation on the coast of the african continent,2/26/1885,Great Britain  Austria-Hungary  Belgium  Denmark  Francence  Germany  Italy  Netherlands  Portugal  Russia  Spain  Sweden  Turkey  USA   ,Navigation
General,Tanzania  United Republic of,African convention on the conservation of nature and natural resources,11/07/2003,ALGERIA  ANGOLA  BENIN  BOTSWANA  BURKINA FASO  BURUNDI  CAMEROON  CAPE VERDE  CENTRAL AFRICAN REPUBLIC  CHAD  COMOROS  CONGO  Dem. Rep. of  CONGO  C���TE D'IVOIRE  DJIBOUTI  EGYPT  EQUATORIAL GUINEA  ERITREA  ETHIOPIA  GABON  GAMBIA  GHANA  GUINEA  GUINEA-BISSAU  KENYA  LESOTHO  LIBERIA  LIBYAN ARAB JAMAHIRIYA  MADAGASCAR  MALAWI  MALI  MAURITANIA  MAURITIUS  MOROCCO  MOZAMBIQUE  NAMIBIA  NIGER  NIGERIA  RWANDA  SAO TOME AND PRINCIPE  SENEGAL  SEYCHELLES  SIERRA LEONE  SOMALIA  SOUTH AFRICA  SUDAN  SWAZILAND  TANZANIA  Un. Rep. of  TOGO  TUNISIA  UGANDA  ZAMBIA  ZIMBABWE,Water Quality  Economic Development  Irrigation  Technical Cooperation/Assistance  Water Quantity  Joint Management
Congo/Zaire,Tanzania  United Republic of,The Convention on the Sustainable Management of Lake Tanganyika,12/06/2003,TANZANIA  Un. Rep. of  ZAMBIA  BURUNDI  CONGO,Water Quality  Fishing  Economic Development  Technical Cooperation/Assistance  Navigation  Joint Management
Mekong,Thailand,Joint declaration of principles for utilization of the waters of the lower Mekong Basin  signed by the representatives of the governments of Cambodia  Laos  Thailand  and Vietnam to the Committee for Coordination of Investigations of the Lower Mekong Basin,31/01/1975,Khmer  Laos  Thailand  Vietnam,Economic Development
Mekong,Thailand,Declaration concerning the Interim Committee for Coordination of Investigation of the Lower Mekong Basin,05/01/1978,Laos  Thailand  Vietnam,Economic Development
Mekong,Thailand,Directive No. 17/2000/Ct-TTg of September 20 2000 on coping with flooding in the Mekong River Delta,20/09/2000,Laos  Thailand  Vietnam  Camodia,Flood Control/Relief
Mekong,Thailand,Decision No. 144/1999/QD-TTg  Ratifying the plan on the control and use of flood water in Mekong River Delta Area for the period from now to the year 2010,21/06/1999,Laos  Thailand  Vietnam  Camodia,Flood Control/Relief  Technical Cooperation/Assistance  Joint Management
Mekong,Thailand,Decision No. 78/2004/QD-TTg of May 7  2004 adjusting and supplementing a number of mechanisms and policies in order to speed up the construction progress of population clusters and lines as well as dwelling houses in frequently flooded provinces in Mekong River Delta,07/05/2004,Laos  Thailand  Vietnam  Camodia,Flood Control/Relief  Technical Cooperation/Assistance  Joint Management
Mekong,Thailand,Agreement on the cooperation for the sustainable development of the Mekong River Basin,05/04/1995,Cambodia  Laos  Thailand  Vietnam,Flood control/relief  Water Quantity
Mekong,Thailand,Convention between Laos and Thailand for the supply of power,12/08/1965,Laos  Thailand,Hydro-power/Hydro-electricity
Mekong,Thailand,Statute of the Committee for Co-ordination of Investigations of the Lower Mekong Basin established by the governments of Cambodia  Laos  Thailand and the Republic of Viet-Nam in response to the decisions taken by the United Nations Economic Commission for Asia and the Far East. Phnom-Penh,31/10/1957,Cambodia  Laos  Thailand  Vietnam,Technical Cooperation/Assistance  Infrastructure/Development
Mekong,Thailand,Agreement on Providing the Hydrologic Data during Flood Season,01/04/2002,Cambodia  China  Lao PDR Thailand  Vietnam,N.A.
Mekong,Thailand,Commercial navigation on the Lancand-Mekong River,26/06/2001,China  Laos  Myanmar  Thailand,N.A.
Golok,Thailand,An inter-governmental agreement between Malaysia and Thailand was signed between the Ministers of Agriculture of both countries on 7th March 1997.,07/03/1997,Malaysia  Thailand,N.A.
Lake Prespa,The former Yugoslav Republic of Macedonia,Agreement between the Federal People's Republic of Yugoslavia and the Kingdom of Greece concerning hydro-economic questions  signed at Athens,18/06/1959,Greece  Yugoslavia,Economic Development
Struma,The former Yugoslav Republic of Macedonia,Agreement between the Federal People's Republic of Yugoslavia and the Kingdom of Greece concerning hydro-economic questions  signed at Athens,18/06/1959,Greece  Yugoslavia,Economic Development
Vardar,The former Yugoslav Republic of Macedonia,Agreement between the Federal People's Republic of Yugoslavia and the Kingdom of Greece concerning hydro-economic questions  signed at Athens,18/06/1959,Greece  Yugoslavia,Economic Development
Lake Prespa,The former Yugoslav Republic of Macedonia,Exchange of notes between Greece and Yugoslavia concerning hydro-economic quesitons,25/05/1954,Greece  Yugoslavia,Joint Management
Struma,The former Yugoslav Republic of Macedonia,Exchange of notes between Greece and Yugoslavia concerning hydro-economic quesitons,25/05/1954,Greece  Yugoslavia,Joint Management
Vardar,The former Yugoslav Republic of Macedonia,Exchange of notes between Greece and Yugoslavia concerning hydro-economic quesitons,25/05/1954,Greece  Yugoslavia,Joint Management
Struma,The former Yugoslav Republic of Macedonia,Proces-verbal of the meeting of delegations of the Federal People's Republic of Yugoslavia and of the Kingdom of Greece which took place on 26 August to 1 September 1957 at Stari Dojran to draw up the mode and the level of collaboration with regard to hyd,01/09/1957,Greece  Yugoslavia,Technical Cooperation/Assistance
Drin,The former Yugoslav Republic of Macedonia,Agreement between the council of ministers of the Republic of Albania and the Government of the Repulic of Macedonia for the protection and sustainable development of Lake Ohrid and its watershed,17/06/2004,ALBANIA  Macedonia  the former Yugoslav Republic of,Water Quality  Economic Development  Joint Management
Struma,The former Yugoslav Republic of Macedonia,Proces-verbal of the delegations of the Federal People's Republic of Yugoslavia and of the Kingdom of Greece  meeting of  23 to 30 March 1956 for the question of Lake Doiran's water level,31/03/1956,Greece  Yugoslavia  People's Republic of,Water Quantity
Volta,Togo,Agreement governing the operations of the Onchocerciasis Control Programme in the Volta River Basin area. Accra  1 November  1973,01/11/1973,Benin  Ghana  Cote d'Ivoire  Mali  Niger  Togo  Upper Volta,N.A.
General,Togo,African convention on the conservation of nature and natural resources,15/09/1968,Cameroon  Central Africa Republic  Congo  Cote D'Ivoire  Djibouti  Egypt  Ghana  Kenya  Madagascar  Malawi  Mali  Morocco Mozambique  Niger  Nigeria  Rwanda  Senegal  Seychelles  Sudan  Swaziland  Togo  Tunisia  Uganda  Tanzania  Zaire  Liberia  Algeria,Joint Management  Water Quality
Volta,Togo,Convention on the status of the Volta River and the Establishment of Volta Basin Authority,19/01/2007,Benin  Burkina Faso  Cote D'Ivoire  Ghana  Mali  Togo,Joint Management  Water Quality  Navigation  Economic Development
General,Togo,African convention on the conservation of nature and natural resources,11/07/2003,ALGERIA  ANGOLA  BENIN  BOTSWANA  BURKINA FASO  BURUNDI  CAMEROON  CAPE VERDE  CENTRAL AFRICAN REPUBLIC  CHAD  COMOROS  CONGO  Dem. Rep. of  CONGO  C���TE D'IVOIRE  DJIBOUTI  EGYPT  EQUATORIAL GUINEA  ERITREA  ETHIOPIA  GABON  GAMBIA  GHANA  GUINEA  GUINEA-BISSAU  KENYA  LESOTHO  LIBERIA  LIBYAN ARAB JAMAHIRIYA  MADAGASCAR  MALAWI  MALI  MAURITANIA  MAURITIUS  MOROCCO  MOZAMBIQUE  NAMIBIA  NIGER  NIGERIA  RWANDA  SAO TOME AND PRINCIPE  SENEGAL  SEYCHELLES  SIERRA LEONE  SOMALIA  SOUTH AFRICA  SUDAN  SWAZILAND  TANZANIA  Un. Rep. of  TOGO  TUNISIA  UGANDA  ZAMBIA  ZIMBABWE,Water Quality  Economic Development  Irrigation  Technical Cooperation/Assistance  Water Quantity  Joint Management
General,Tunisia,African convention on the conservation of nature and natural resources,15/09/1968,Cameroon  Central Africa Republic  Congo  Cote D'Ivoire  Djibouti  Egypt  Ghana  Kenya  Madagascar  Malawi  Mali  Morocco Mozambique  Niger  Nigeria  Rwanda  Senegal  Seychelles  Sudan  Swaziland  Togo  Tunisia  Uganda  Tanzania  Zaire  Liberia  Algeria,Joint Management  Water Quality
General,Tunisia,African convention on the conservation of nature and natural resources,11/07/2003,ALGERIA  ANGOLA  BENIN  BOTSWANA  BURKINA FASO  BURUNDI  CAMEROON  CAPE VERDE  CENTRAL AFRICAN REPUBLIC  CHAD  COMOROS  CONGO  Dem. Rep. of  CONGO  C���TE D'IVOIRE  DJIBOUTI  EGYPT  EQUATORIAL GUINEA  ERITREA  ETHIOPIA  GABON  GAMBIA  GHANA  GUINEA  GUINEA-BISSAU  KENYA  LESOTHO  LIBERIA  LIBYAN ARAB JAMAHIRIYA  MADAGASCAR  MALAWI  MALI  MAURITANIA  MAURITIUS  MOROCCO  MOZAMBIQUE  NAMIBIA  NIGER  NIGERIA  RWANDA  SAO TOME AND PRINCIPE  SENEGAL  SEYCHELLES  SIERRA LEONE  SOMALIA  SOUTH AFRICA  SUDAN  SWAZILAND  TANZANIA  Un. Rep. of  TOGO  TUNISIA  UGANDA  ZAMBIA  ZIMBABWE,Water Quality  Economic Development  Irrigation  Technical Cooperation/Assistance  Water Quantity  Joint Management
Unknown,Turkey,Accord pertaining to long term economic  technical  industrial  and scientific cooperation between the Government of the Republic of Turkey and the Government of the People?s Republic of Bulgaria.,28/05/1905,Turkey  Bulgaria,N.A.
Unknown,Turkey,Treaty between Turkey and Iran on the Sarisu and Karasu Rivers.,18/11/1955,N.A.,N.A.
Rezvaya,Turkey,Agreement between the Republic of Turkey and the Republic of Bulgaria on determination of the boundary in the mouth area of the Mutludere/Rezovska River and delimitation of the maritime areas between the two States in the Black Sea.,04/12/1997,Turkey  Bulgaria,Border Issues  Navigation  Joint Management  Technical Cooperation/Assistance
Maritsa,Turkey,Agreement between the People?s Republic of Bulgaria and the Republic of Turkey concerning cooperation in the use of the waters of rivers flowing through the territory of both countries,23/10/1968,Bulgaria  Turkey,Flood control/relief  Water Quantity
Tigris-Euphrates/Shatt al Arab,Turkey,Treaty of friendship and neighbourly relations  and six annexed protocols  signed at Ankara,29/03/1946,Iraq  Turkey,Infrastructure/Development
Asi/Orontes,Turkey,Joint comminique between Republic of Turkey Prime Ministry Southeastern Anatolia Project Regional Development Administration (GAP) and Arab Republic of Syria Ministry of Irrigation General Organization for Land Development (GOLD),23/08/2001,Syria  Turkey,Technical Cooperation/Assistance
Nahr El Kebir,Turkey,Joint comminique between Republic of Turkey Prime Ministry Southeastern Anatolia Project Regional Development Administration (GAP) and Arab Republic of Syria Ministry of Irrigation General Organization for Land Development (GOLD),23/08/2001,Syria  Turkey,Technical Cooperation/Assistance
Tigris-Euphrates/Shatt al Arab,Turkey,Joint comminique between Republic of Turkey Prime Ministry Southeastern Anatolia Project Regional Development Administration (GAP) and Arab Republic of Syria Ministry of Irrigation General Organization for Land Development (GOLD),23/08/2001,Syria  Turkey,Technical Cooperation/Assistance
Tigris-Euphrates/Shatt al Arab,Turkey,Treaty between Turkey and Iran on the Sarisu and Karasu River,18/11/1955,Iran  Turkey,Water Quantity
Tigris-Euphrates/Shatt al Arab,Turkey,Minutes between Syria and Turkey on cooperation in fighting terrorism  signed at Adana  including Annex 2,20/10/1998,Syria  Turkey,Water Quantity
Tigris-Euphrates/Shatt al Arab,Turkey,Protocol on matters pertaining to economic cooperation. Signed at Damascus,17/07/1987,Syria  Turkey,Water Quantity  Hydro-power/Hydro-electricity
General,Turkmenistan,Framework Convention for the Protection of the Marine Environment of the Caspian Sea.,04/11/2003,Azerbaijan  Iran  Kazahstan  Russian Federation  Turkmenistan,N.A.
Aral Sea,Turkmenistan,Agreement between the Republic of Kazakhstan  Republic of Kyrgyzstan  Republic of Uzbekistan  Republic of Tajikistan and Turkmenistan on Cooperation in the Area of Joint Management  Utilization and Protection of Interstate Water Resources,18/02/1992,Kazakhstan  Kyrgyzstan  Tajikistan  Turkmenistan  Uzbekistan,N.A.
